centroid       numS31         numS22         numS211        numS1111       
false (1)      4 (4)          3 (6)          26 (12)        15 (24)        

S31 
[0.009190016722718708]                                                8.085272432984376e-5                                                  
[0.03919520180142048]                                                 0.0006607538034643527                                                 
[0.09560358725807411]                                                 0.0019251408697458134                                                 
[0.22585280817585254]                                                 0.005010824044157103                                                  

S22 
[0.47585283217120733]                                                 0.0008144605250928947                                                 
[0.42886468558179536]                                                 0.00275646231672436                                                   
[0.3801002216285657]                                                  0.003837322221930336                                                  

S211 
[0.005445473777011108, 0.9330594031186877]                            8.998932711325378e-5                                                  
[0.006327504369979486, 0.8481990958941387]                            0.0001619023292637232                                                 
[0.008368025421928762, 0.7337592470248747]                            0.00030863117638809653                                                
[0.03461129758945404, 0.006177942455132751]                           0.00018558776308982478                                                
[0.4908989362791286, 0.0011527267918671352]                           0.0001953247716246695                                                 
[0.08843345904638981, 0.004771457978527594]                           0.00032240820074910126                                                
[0.4546626319003113, 0.019923517218931718]                            0.001126293186378561                                                  
[0.15543195531169637, 0.00856037436173817]                            0.0008392829064846641                                                 
[0.427498113639357, 0.0060814319767839905]                            0.0009052416116446033                                                 
[0.21242661858995435, 0.006230614273988615]                           0.001005119509996334                                                  
[0.2982425449417152, 0.005869910589485654]                            0.0007271310339226555                                                 
[0.3696221534220214, 0.0176978711506989]                              0.0017038128619462623                                                 
[0.048262499770235376, 0.7994277105514368]                            0.0009102432258853034                                                 
[0.03183144930975904, 0.7630309979750741]                             0.000951593244346341                                                  
[0.027404658174171297, 0.5760915885761009]                            0.001007718713519714                                                  
[0.08585580228943512, 0.02809032379172662]                            0.00068923666531064                                                   
[0.4082758202526139, 0.036666828052614404]                            0.0026178624131159125                                                 
[0.28825160822914986, 0.05042837721761622]                            0.002333399075709073                                                  
[0.1075627734824988, 0.6097360441501961]                              0.002485765196823709                                                  
[0.08400539424364258, 0.5840694208272004]                             0.0019288185203943607                                                 
[0.14440542903302198, 0.49829741014799933]                            0.003160020908106581                                                  
[0.18375894826386943, 0.06611638495475032]                            0.002930241908322767                                                  
[0.357669377074178, 0.07866753897484538]                              0.0034840694015998205                                                 
[0.2341432425860292, 0.09270916584536311]                             0.0040749965821191845                                                 
[0.16662302570539658, 0.3960775491376727]                             0.004520474008754557                                                  
[0.31406450120661233, 0.13316321265158282]                            0.0035338460990790984                                                 

S1111 
[0.09219407677877539, 0.8640110350275759, 0.03465157452557795]        0.00041911370092891494                                                
[0.17966536000963823, 0.7811364409859272, 0.035241075480549375]       0.00028125053606856246                                                
[0.2789521796834165, 0.6658160698831186, 0.04513416445622178]         0.0007808583112609131                                                 
[0.3675437659065071, 0.6152658256348362, 0.015083445961855006]        0.0001820899102512426                                                 
[0.1611862532587471, 0.7462083813678734, 0.08328348710140031]         0.0007143512974606363                                                 
[0.24892771665059538, 0.6435989697977189, 0.10422766898515443]        0.0005051734360643968                                                 
[0.39116798361173366, 0.5410317098586651, 0.06387456668166398]        0.0005550376469848906                                                 
[0.3206519838684846, 0.5404010224562605, 0.12832514972291714]         0.0011127037964262414                                                 
[0.3208815969364796, 0.4696390841138743, 0.2071726281970454]          0.0005477671012102661                                                 
[0.15772991805862613, 0.6984394231221771, 0.09829946550898284]        0.001725080325462282                                                  
[0.2423737044019052, 0.6554672063477133, 0.06713552162337122]         0.0011510679603029205                                                 
[0.33920978573041227, 0.5400471203279914, 0.08287922493742839]        0.0019216084851413312                                                 
[0.2274957120575678, 0.6039403856312539, 0.13841716865886042]         0.0017630402639513911                                                 
[0.28670517562890385, 0.47884200308357644, 0.20456149119450606]       0.0023532293721530346                                                 
[0.2993228950082746, 0.4860616922475179, 0.13964246038765254]         0.003423132695935499                                                  
