vertices       numS31         midedges       numS22         numfaceS21     numedge        
true (4)       2 (4)          true (6)       1 (6)          2 (12)         1 (12)         
numS211        numS1111       facecentroid   numfaceS111    centroid       
0 (12)         0 (24)         true (4)       0 (24)         true (1)       

[0.0]                                                                      0.0006778001765978543                                                      
[0.12593449570017748]                                                      0.050413729283762684                                                       
[0.3062331364042912]                                                       0.04832520247287647                                                        
[0.5]                                                                      0.002567896089736341                                                       
[0.3976154960163981]                                                       0.04129921374122663                                                        
[0.14458204121162915]                                                      0.011536891180251795                                                       
[0.4375200656195637]                                                       0.01207772755348817                                                        
[0.8273268353539885]                                                       0.0026911240845809365                                                      
[0.3333333333333333]                                                       0.019941780117663413                                                       
[0.25]                                                                     0.019941780117663413                                                       


=======================================================================================
   Facet quadrature data (degree 6 quadrature on a triangle with 19 nodes)
=======================================================================================
vertices  midedges  numS21    numedge   numS111   centroid  
true      true      2         1         0         true      

[0.0]                                             0.004759823628385998                              
[0.5]                                             0.026069264053609865                              
[0.14458204121162915]                             0.10663039281548531                               
[0.4375200656195637]                              0.1222177978820598                                
[0.41366341767699427]                             0.022685185185185176                              
[0.3333333333333333]                              0.08485705375026613                               
